timestamp,product,buy,sell,quantity,unit,gr_pure,buy_gr,sell_gr,price_diff_gr,sell_gr_premium,product_std
2022-03-24 01:38:27.222411+02:00,1 грам абонаментно златно кюлче Tavex,115,126,1,gr,1,115,126,0.0957,0.1198,абонаментно кюлче Tavex, 1 грам
2022-03-24 01:38:27.222411+02:00,1 унция златнo Австралийско Кенгуру,3556,3669,1,oz,31.1,114.33,117.96,0.0318,0.0483,Австралийско Кенгуру, 1 унция
2022-03-24 01:38:27.222411+02:00,1 унция златна австрийска филхармония,3556,3680,1,oz,31.1,114.33,118.32,0.0349,0.0515,Австрийска филхармония, 1 унция
2022-03-24 01:38:27.222411+02:00,1 унция златна монета Пазителите на Кралицата 2021 година,3591,3767,1,oz,31.1,115.46,121.11,0.0489,0.0763,Пазителите на Кралицата 2021 година, 1 унция
2022-03-24 01:38:27.222411+02:00,1 унция златно кюлче Valcambi,3504,3652,1,oz,31.1,112.66,117.42,0.0423,0.0435,кюлче Valcambi, 1 унция
2022-03-24 01:38:27.222411+02:00,50 грама златно кюлче Valcambi,5632,5854,50,gr,50,112.64,117.08,0.0394,0.0405,кюлче Valcambi, 50 грама
2022-03-24 01:38:27.222411+02:00,100 грама златно кюлче Valcambi,11208,11640,100,gr,100,112.08,116.4,0.0385,0.0344,кюлче Valcambi, 100 грама
2022-03-24 01:38:27.222411+02:00,20 франка френски Наполеон с Лавров венец,674,723,20,fr,5.805,116.11,124.55,0.0727,0.1069,Френски Наполеон с Лавров венец, 20 франка
2022-03-24 01:38:27.222411+02:00,20 франка френски Гениус,674,723,20,fr,5.805,116.11,124.55,0.0727,0.1069,Френски Гениус, 20 франка
2022-03-24 01:38:27.222411+02:00,1/10 унция златна австрийска филхармония,348,401,0.1,oz,3.1103,111.89,128.93,0.1523,0.1458,Австрийска филхармония, 1/10 унция
2022-03-24 01:38:27.222411+02:00,1 грам златно кюлче Valcambi,113,159,1,gr,1,113,159,0.4071,0.413,кюлче Valcambi, 1 грам
